Thread ID,Image Index,Duration (ms),Size (bytes)
0,1,22445,6
0,1,22574,6
1,1,27364,6
1,2,22441,6
0,2,32231,6
1,3,22567,6
0,3,22613,6
1,4,22439,6
0,4,22568,6
1,5,22642,6
0,5,22436,6
