Thread ID,Image Index,Duration (ms),Size (bytes)
0,1,22523,6
0,1,22573,6
0,1,22569,6
0,2,22527,6
0,2,22551,6
0,2,22566,6
0,3,22523,6
0,3,22549,6
0,3,22572,6
0,4,22528,6
0,4,22542,6
0,4,22563,6
0,5,22523,6
0,5,22560,6
0,5,22570,6
