Thread ID,Image Index,Duration (ms),Size (bytes)
3,1,22584,6
0,1,22436,6
1,1,22621,6
1,2,22444,6
3,2,22565,6
0,2,22715,6
1,3,22564,6
0,3,22438,6
3,3,22780,6
1,4,22565,6
3,4,22447,6
0,4,22793,6
1,5,22572,6
0,5,22439,6
3,5,22786,6
